Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Combined,Outlet
9.3,0,0.016047301,249.8092,21,1,0,1,3735.138,1,9
5.92,2,0.019278216,48.2692,11,1,2,2,443.4228,0,3
17.5,0,0.016760075,141.618,21,1,0,1,2097.27,1,9
19.2,2,0.06595278007399345,182.095,22,1,2,0,732.38,1,0
8.93,1,0.06595278007399345,53.8614,33,0,2,1,994.7052,2,1
10.395,2,0.06595278007399345,51.4008,11,1,2,2,556.6088,1,3
13.65,2,0.012741088999999999,57.6588,33,0,2,1,343.5528,1,1
12.792854228644991,0,0.127469857,107.7622,35,1,2,3,4022.7636,1,5
16.2,2,0.016687114,96.9726,18,1,1,1,1076.5986,1,7
19.2,2,0.09444959,187.8214,13,1,1,1,4710.535,1,2
11.8,0,0.06595278007399345,45.5402,21,1,0,1,1516.0266,1,9
18.5,2,0.045463773,144.1102,23,2,0,1,2187.153,1,8
15.1,2,0.1000135,145.4786,21,1,0,1,1589.2646,1,9
17.6,2,0.047257328,119.6782,23,2,0,1,2145.2076,1,8
16.35,0,0.06802430000000001,196.4426,33,0,2,1,1977.4260000000002,1,1
9.0,2,0.06908896099999999,56.3614,23,2,0,1,1547.3192,1,8
11.8,1,0.008596051,115.3492,11,1,2,2,1621.8888,2,3
9.0,2,0.06919637599999999,54.3614,21,1,0,1,718.3982,1,9
12.792854228644991,0,0.034237682,113.2834,35,1,2,3,2303.6679999999997,0,5
13.35,0,0.10249212,230.5352,16,2,1,1,2748.4224,1,6
18.85,2,0.138190277,250.8724,33,0,2,1,3775.086,1,1
12.792854228644991,2,0.035399923,144.5444,35,1,2,3,4064.0432,1,5
14.6,1,0.025698133999999997,196.5084,16,2,1,1,1587.2672,2,6
12.792854228644991,0,0.057556998,107.6938,35,2,0,0,214.3876,1,4
13.85,2,0.025896485,165.021,23,2,0,1,4078.025,1,8
13.0,1,0.099887103,45.906000000000006,13,1,1,1,838.908,2,2
7.645,2,0.06669343700000001,42.3112,16,2,1,1,1065.28,1,6
11.65,0,0.019356131999999998,39.1164,33,0,2,1,308.9312,0,1
5.925,2,0.161466534,45.5086,22,1,2,0,178.4344,1,0
12.792854228644991,2,0.072221801,43.6454,35,2,0,0,125.8362,1,4
19.25,0,0.17034855100000001,55.7956,22,1,2,0,163.7868,1,0
18.6,1,0.080829372,96.4436,11,1,2,2,2741.7644,2,3
18.7,0,0.06595278007399345,256.6672,11,1,2,2,3068.0064,1,3
17.85,0,0.06595278007399345,93.1436,18,1,1,1,2174.5028,1,7
17.5,0,0.097904029,174.8738,23,2,0,1,2085.2856,0,8
10.0,1,0.08929113699999999,146.7102,21,1,0,1,3791.0652,2,9
12.792854228644991,2,0.059511812000000004,128.0678,35,1,2,3,2797.6916,1,5
8.85,2,0.113123893,122.5388,11,1,2,2,1609.9044,0,3
12.792854228644991,2,0.12311145300000001,36.9874,35,1,2,3,388.1614,1,5
12.792854228644991,0,0.026480953999999998,87.6198,35,1,2,3,2180.495,1,5
13.35,0,0.102511504,230.6352,23,2,0,1,3435.528,1,8
9.8,0,0.02681843,126.00200000000001,33,0,2,1,2150.534,1,1
13.6,0,0.117818348,192.9136,21,1,0,1,2527.3768,1,9
21.35,0,0.06910283099999999,259.9278,11,1,2,2,6768.5228,1,3
12.15,2,0.042277867000000004,126.5046,33,0,2,1,373.5138,1,1
6.42,0,0.08949892599999999,178.1002,22,1,2,0,358.2004,1,0
19.6,1,0.06595278007399345,153.3024,18,1,1,1,2428.8384,2,7
10.0,0,0.025879577,265.2226,18,1,1,1,5815.0972,1,7
15.85,2,0.121632721,60.622,23,2,0,1,2576.646,1,8
12.792854228644991,2,0.25539489600000004,196.8794,35,2,0,0,780.3176,1,4
7.39,1,0.067779712,143.8812,23,2,0,1,3134.5864,2,8
10.195,0,0.159803853,141.5154,33,0,2,1,850.8924,1,1
9.895,2,0.028696932,117.0492,33,0,2,1,810.9444,1,1
10.895,0,0.065041581,196.3794,13,1,1,1,3121.2704,1,2
12.15,1,0.028760012999999997,151.4708,13,1,1,1,4815.0656,2,2
7.905,0,0.010053105,249.0408,11,1,2,2,6258.52,1,3
9.195,1,0.048157338,106.1622,18,1,1,1,2117.244,2,7
8.365,0,0.071958197,38.0506,21,1,0,1,796.9626,0,9
15.1,0,0.17348130399999998,194.511,23,2,0,1,4910.275,1,8
12.792854228644991,0,0.061082177,180.0344,35,2,0,0,892.172,1,4
10.0,0,0.06595278007399345,246.9144,11,1,2,2,3185.1872,1,3
7.97,2,0.040071131,87.3514,18,1,1,1,1062.6168,1,7
12.792854228644991,0,0.012090074,38.2848,35,1,2,3,484.7024,1,5
